"Location","Freq","lng","lat","radius"
"Broadway",206157,-73.9255789,40.7617758,454.04515193976
"3rd Ave",160282,-73.9830681,40.7389372,400.352344816413
"Madison Ave",98853,-73.969627,40.7660335,314.408969337708
"5th Ave",90707,-73.9342729,40.8174708,301.176028262543
"Lexington Ave",81199,-73.9603164,40.7730129,284.954382314082
"2nd Ave",77738,-73.9938908,40.6719924,278.815351083831
"1st Ave",72719,-73.9401347,40.7895303,269.664606502225
"7th Ave",66543,-73.9820256,40.7630704,257.95929911519
"8th Ave",57459,-73.9856481,40.7629156,239.706070010753
"6th Ave",55903,-74.0008455,40.7318551,236.438152589636
"Queens Blvd",54602,-73.9177213,40.7432249,233.670708476694
"Amsterdam Ave",51745,-73.9821175,40.7779222,227.475273381526
"Jamaica Ave",43004,-73.7665445,40.7133043,207.374058165432
"Columbus Ave",38928,-73.9793229,40.776739,197.301799282216
"Park Ave",38772,-73.9805026,40.7484151,196.906068977063
"37th Ave",38407,-73.9179971,40.7506444,195.977039471465
"Roosevelt Ave",36107,-73.8332175,40.7585475,190.018420159731
"Coney Island Ave",35366,-73.960789,40.593014,188.058501536091
"White Plains Rd",34553,-73.8663349,40.8771761,185.884372662147
"Nostrand Ave",32132,-73.949556,40.6803935,179.254009718053
"9th Ave",31194,-74.0027323,40.7446399,176.61823235442
"Jerome Ave",29358,-73.887736,40.877034,171.341763735524
"Fulton St",29253,-74.0078096,40.7102369,171.035084120189
"HORACE HARDING EXPWY",28464,-73.7249093,40.7645186,168.712773671705
"Main St",25646,-73.8314394,40.762159,160.143685482756
"St Nicholas Ave",25446,-73.952807,40.80587,159.518024059979
"Myrtle Ave",25215,-73.9352775,40.6969959,158.792317194504
"Flatbush Ave",24881,-73.9088164,40.5974264,157.73712308775
"Steinway St",24612,-73.9201758,40.7575068,156.882121352307
"NB FRANCIS LEWIS BLV",24453,-73.7956699,40.7729428,156.374550359066
"Grand Concourse",24380,-73.885364,40.8772429,156.140961954255
"Northern Blvd",23599,-73.9062074,40.7530794,153.619660200119
"E Tremont Ave",22933,-73.9059612,40.8495271,151.436455320375
"York Ave",22887,-73.9578475,40.7612647,151.284500197476
"Westchester Ave",22533,-73.9159846,40.8164868,150.109959696217
"13th Ave",22365,-74.008637,40.619143,149.549322967374
"W 39th St",22008,-73.992002,40.7556902,148.350935285222
"Atlantic Ave",21847,-73.8949322,40.6759984,147.807306991231
"W 35th St",21040,-74.0001711,40.5722429,145.05171491575
"NB PENNSYLVANIA AVE",20911,-73.8974433,40.6780454,144.606362239011
"W 38th St",20273,-73.988787,40.753517,142.383285535908
"Liberty Ave",19804,-73.8965126,40.6744049,140.726685458018
"NB CONEY ISLAND AVE",18710,-73.9709755,40.6468296,136.784502046102
"W 43rd St",18678,-73.9891695,40.757858,136.667479672379
"W 37th St",18491,-74.0025693,40.5733798,135.981616404571
"EB FLATLANDS AVE @ E",18016,-73.8896291,40.6513826,134.2236938845
"Austin St",17901,-73.8281914,40.7080116,133.794618725867
"BROADWAY",17776,-73.9255789,40.7617758,133.326666499992
"41st Ave",17481,-73.896874,40.744461,132.215732800601
"10th Ave",17358,-73.9188694,40.8644347,131.749762808136
"NB WOODHAVEN BLVD @",17349,-73.8456853,40.6832982,131.715602720407
"W 46th St",17279,-73.9812777,40.7569769,131.449610117337
"EB HILLSIDE AVE @ MA",17238,-73.8902478,40.5668504,131.293564198707
"E 13th St",16953,-73.9884737,40.7329383,130.203686583752
"W 40th St",16935,-74.0019727,40.7606802,130.134545759379
"Metropolitan Ave",16840,-73.9386858,40.7145903,129.769025580067
"W 58th St",16700,-73.9736008,40.7637196,129.228479833201
"30th Ave",16577,-73.9215824,40.7666967,128.751699017916
"Kings Hwy",16478,-73.9212985,40.6565574,128.366662338786
"86th St",16334,-74.0282979,40.622811,127.80453826058
"31st St",16325,-73.9297973,40.7565241,127.769323391806
"Church St",16303,-76.1181071,43.1350587,127.683201714243
"Grand St",16092,-73.9937839,40.7181616,126.854247071196
"Greenwich St",15838,-74.012934,40.7094844,125.84911600802
"Court St",15774,-73.9917825,40.6940745,125.59458587057
"QUEENS BLVD (W/B) @",15761,-73.8201378,40.7096016,125.542821379799
"E 14th St",15690,-73.9900281,40.7345017,125.259730160974
